name,team,battingStyle,bowlingStyle,playingRole,description,InningsBatted,Runs,BallsFaced,Fours,Sixes,Dismissals,BattingPosAvg,InningsBowled,OversBowled,ballsBowled,RunsConceded,Wickets,DotBalls,BattingAverage,StrikeRate,BoundaryPercent,AvgBallsFaced,BowlingAverage,Economy,BowlingStrikeRate,DotBallPercent
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021. ",3.0,107.0,97.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,110.30927835051547,50.467289719626166,32.333333333333336,0.0,0.0,0.0,0.0
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,,2.0,24.0,28.0,1.0,0.0,2.0,7.5,3.0,8.0,48.0,38.0,2.0,20.0,12.0,85.71428571428571,16.666666666666664,14.0,19.0,4.75,24.0,41.66666666666667
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical.",2.0,1.0,3.0,0.0,0.0,1.0,10.0,3.0,12.0,72.0,80.0,5.0,24.0,1.0,33.33333333333333,0.0,1.5,16.0,6.666666666666667,14.4,33.33333333333333
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,144.0,147.0,4.0,45.0,0.0,0.0,0.0,0.0,36.75,6.125,36.0,31.25
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016.",5.0,95.0,76.0,6.0,3.0,4.0,4.8,1.0,1.0,6.0,11.0,1.0,1.0,23.75,125.0,44.21052631578947,15.2,11.0,11.0,6.0,16.666666666666664
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16.666666666666664
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. ",4.0,99.0,79.0,13.0,1.0,4.0,4.25,2.0,3.0,18.0,21.0,1.0,4.0,24.75,125.31645569620254,58.58585858585859,19.75,21.0,7.0,18.0,22.22222222222222
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. ",2.0,24.0,19.0,2.0,0.0,1.0,8.0,3.0,12.0,72.0,94.0,2.0,25.0,24.0,126.3157894736842,33.33333333333333,9.5,47.0,7.833333333333333,36.0,34.72222222222222
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter,"Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup.",6.0,212.0,144.0,19.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,147.22222222222223,64.15094339622641,24.0,0.0,0.0,0.0,0.0
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,,1.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0
